text,label,source,service,error_signature,severity,normalized_label
unable to locate maven executable,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
maven binary missing from path,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
bash mvn command not found,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
permission denied while accessing file,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
access denied to directory,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
user does not have required permission,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
operation not permitted,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
cannot execute due to permission restrictions,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
write permission denied,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
scm checkout failed,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
failed to fetch repository,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
git checkout failed,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
error cloning repository,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
unable to checkout branch,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
repository checkout unsuccessful,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
ssh connection timed out,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
timeout while connecting to host,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
operation timed out ssh,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
ssh handshake timeout,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
connection timed out port 22,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
ssh session timeout,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
no space left on device while writing artifact,disk_full,jenkins,disk-job,disk full,high,disk_full
failed writing to workspace insufficient space,disk_full,jenkins,disk-job,disk full,high,disk_full
jenkins workspace out of disk space,disk_full,jenkins,disk-job,disk full,high,disk_full
cannot allocate disk space,disk_full,jenkins,disk-job,disk full,high,disk_full
error writing file system full,disk_full,jenkins,disk-job,disk full,high,disk_full
disk quota exceeded,disk_full,jenkins,disk-job,disk full,high,disk_full
build failed no disk space available,disk_full,jenkins,disk-job,disk full,high,disk_full
temporary directory full,disk_full,jenkins,disk-job,disk full,high,disk_full
overlayfs no space left,disk_full,jenkins,disk-job,disk full,high,disk_full
docker build failed no space left on device,disk_full,jenkins,disk-job,disk full,high,disk_full
cannot connect to docker engine,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
dockerd process not found,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker ps returned error daemon not responding,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
error during connect http docker socket,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker info failed daemon unreachable,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
systemctl status docker inactive,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker build cannot connect to daemon,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
container runtime not running,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
authentication refused publickey,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
no supported authentication methods available,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
host key verification failed,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
ssh permission denied password publickey,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
key exchange failed authentication,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
remote rejected our key,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
fatal could not authenticate to github,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
authentication required but no credentials provided,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
access to repository forbidden,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
git push rejected authentication,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
remote repository authentication error,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
token authentication failed,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
received http status 500 from upstream,http_500,jenkins,api-job,server error,high,http_500
service responded with 500 internal error,http_500,jenkins,api-job,server error,high,http_500
gateway returned 500 error,http_500,jenkins,api-job,server error,high,http_500
application crashed returning 500,http_500,jenkins,api-job,server error,high,http_500
server error during api call,http_500,jenkins,api-job,server error,high,http_500
unexpected response 500,http_500,jenkins,api-job,server error,high,http_500
/usr/bin/mvn not found,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
mvn executable missing in agent,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
maven home not set,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
apache maven not installed on node,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
mvn clean install failed command not found,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
cannot run mvn binary missing,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
chmod required permission denied,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
cannot open file permission denied,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
jenkins user lacks permission,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
access forbidden filesystem,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
failed to write file permission error,permission_denied,jenkins,perm-job,permission denied,medium,permission_denied
hudson git checkout returned status code 128,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
unable to clone git repository,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
fetch failed from origin,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
git fetch error,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
jenkins unable to retrieve source code,scm_checkout_failed,jenkins,git-job,checkout failed,high,scm_checkout_failed
connection timed out during banner exchange,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
ssh unreachable host,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
no route to host ssh,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
network unreachable port 22,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
ssh keepalive timeout,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
remote host not responding ssh,ssh_timeout,jenkins,ssh-job,timeout,high,ssh_timeout
